time,WOB,WOB_0,WOB_SP,RPM,RPM_0,RPM_SP,ROP,T,MSE,dMSEdWOB,dMSEdRPM
[s],[kg],[kg],[kg],[rpm],[rpm],[rpm],[m/hr],[Nm],[MPa],[MPa/kg],[MPa/rpm]
0,3250,13000,13000,53.3333333333333,160,160,2.26488831753174,1904.01463875,222.711304634264,0,0
1,5687.5,13000,13000,88.8888888888889,160,160,10.6059242594676,4561.221748125,190.265432940766,0,0
2,7515.625,13000,13000,112.592592592593,160,160,19.9237256057278,6554.12708015625,184.604750613812,0,0
3,8886.71875,13000,13000,128.395061728395,160,160,28.2451565306977,8048.80607917969,182.546577741286,0,0
4,9915.0390625,13000,13000,138.930041152263,160,160,33.2364241762779,9169.81532844727,191.318777958256,0,0
5,10686.279296875,13000,13000,145.953360768176,160,160,35.1699034222821,10010.5722653979,207.348444718735,0,0
6,11264.7094726563,13000,13000,150.63557384545,160,160,35.5887702232732,10641.139968111,224.761347920273,0,0
7,11698.5321044922,13000,13000,153.7570492303,160,160,35.3734140419593,11114.0657451457,241.024244894993,0,0
8,12023.8990783691,13000,13000,155.8380328202,160,160,34.954710370302,11468.7600779218,255.055860518393,0,0
9,12267.9243087769,13000,13000,157.225355213467,160,160,34.520736784074,11734.7808275038,266.566430094183,0,0
10,12450.9432315826,13000,13000,158.150236808978,160,160,34.1417391923394,11934.2963896904,275.689704862419,0,0
11,12588.207423687,13000,13000,158.766824539319,160,160,33.835173925842,12083.9330613303,282.750239555298,0,0
12,12691.1555677652,13000,13000,159.177883026212,160,160,33.5971062441324,12196.1605650602,288.124803444915,0,0
13,12768.3666758239,13000,13000,159.451922017475,160,160,33.4165342666985,12280.3311928577,292.169999764014,0,0
14,12826.2750068679,13000,13000,159.634614678317,160,160,33.2814942463706,12343.4591637057,295.191719492705,0,0
15,12869.706255151,13000,13000,159.756409785544,160,160,33.1813652689169,12390.8051418418,297.437923963399,0,0
16,12902.2796913632,13000,13000,159.837606523696,160,160,33.1074974855183,12426.3146254439,299.102675955535,0,0
17,12926.7097685224,13000,13000,159.891737682464,160,160,33.0531567140011,12452.9467381454,300.33445990643,0,0
18,12945.0323263918,13000,13000,159.927825121643,160,160,33.0132343288656,12472.9208226715,301.245225502462,0,0
19,12958.7742447939,13000,13000,159.951883414429,160,160,32.9839148866202,12487.9013860662,301.918574699827,0,0
20,12969.0806835954,13000,13000,159.967922276286,160,160,32.9623757847609,12499.1368086121,302.416562397281,0,0
21,12976.8105126965,13000,13000,159.978614850857,160,160,32.9465408119433,12507.5633755216,302.785080494942,0,0
22,12982.6078845224,13000,13000,159.985743233905,160,160,32.9348877172541,12513.8833007037,303.057998322807,0,0
23,12986.9559133918,13000,13000,159.99049548927,160,160,32.9263021788833,12518.6232445903,303.260289117544,0,0
24,12990.2169350439,13000,13000,159.993663659513,160,160,32.9199688768059,12522.1782025052,303.410363646165,0,0
25,12992.6627012829,13000,13000,159.995775773009,160,160,32.9152910990833,12524.8444209414,303.521799385057,0,0
26,12994.4970259622,13000,13000,159.997183848673,160,160,32.9118317891095,12526.8440847686,303.604616153494,0,0
27,12995.8727694716,13000,13000,159.998122565782,160,160,32.9092704767992,12528.3438326389,303.666214822081,0,0
28,12996.9045771037,13000,13000,159.998748377188,160,160,32.907371874052,12529.4686435417,303.712067280472,0,0
29,12997.6784328278,13000,13000,159.999165584792,160,160,32.9059629905833,12530.3122517188,303.746223441306,0,0
30,12998.2588246208,13000,13000,159.999443723195,160,160,32.9049164551709,12530.9449578516,303.771683925177,0,0
31,12998.6941184656,13000,13000,159.999629148796,160,160,32.9041383501203,12531.4194874512,303.790674214128,0,0
32,12999.0205888492,13000,13000,159.999752765864,160,160,32.9035593272958,12531.7753846509,303.804846523757,0,0
33,12999.2654416369,13000,13000,159.999835177243,160,160,32.9031281113358,12532.0423075507,303.815428620423,0,0
